office,funding_year,account,start_page,label,check_page,expected,actual,status,basis
PRESIDENT PRO TEMPORE (D),2024,"EXPENSE ALLOWANCES OF THE VICE PRESIDENT, PRESIDENT PRO TEMPORE, MAJORITY AND MINORITY LEADERS, MAJORITY AND MINORITY WHIPS, CHAIRMEN OF THE MAJORITY AND MINORITY CONFERENCE COMMITTEES AND CHAIRMEN OF THE MAJORITY AND MINORITY POLICY COMMITTEES",24,TRAVEL AND TRANSPORTATION OF PERSONS,24,58.62,58.62,ok,segment
MINORITY LEADER (R),2024,"EXPENSE ALLOWANCES OF THE VICE PRESIDENT, PRESIDENT PRO TEMPORE, MAJORITY AND MINORITY LEADERS, MAJORITY AND MINORITY WHIPS, CHAIRMEN OF THE MAJORITY AND MINORITY CONFERENCE COMMITTEES AND CHAIRMEN OF THE MAJORITY AND MINORITY POLICY COMMITTEES",42,TRAVEL AND TRANSPORTATION OF PERSONS,42,11.99,11.99,ok,segment
APPROPRIATIONS,2024,"SALARIES, OFFICERS AND EMPLOYEES",60,PERSONNEL COMP. FULL-TIME PERMANENT,62,8228103.98,8228103.98,ok,segment
APPROPRIATIONS,2024,"SALARIES, OFFICERS AND EMPLOYEES",60,RE-EMPLOYED ANNUITANTS,62,62986.0,0.0,no_records,segment
APPROPRIATIONS,2024,"SALARIES, OFFICERS AND EMPLOYEES",60,NET PAYROLL EXPENSES,62,8291089.98,8228103.98,fail,block_running_total
CHAPLAIN,2024,"SALARIES, OFFICERS AND EMPLOYEES",69,PERSONNEL COMP. FULL-TIME PERMANENT,69,319083.17,319083.17,ok,segment
CHAPLAIN,2024,"SALARIES, OFFICERS AND EMPLOYEES",69,NET PAYROLL EXPENSES,69,319083.17,319083.17,ok,block_running_total
OFFICE OF THE VICE PRESIDENT (D) - HARRIS,2024,"SALARIES, OFFICERS AND EMPLOYEES",73,PERSONNEL COMP. FULL-TIME PERMANENT,74,1453943.42,1455518.42,fail,segment
OFFICE OF THE VICE PRESIDENT (D) - HARRIS,2024,"SALARIES, OFFICERS AND EMPLOYEES",73,NET PAYROLL EXPENSES,74,1453943.42,1455518.42,fail,block_running_total
PRESIDENT PRO TEMPORE (D),2024,"SALARIES, OFFICERS AND EMPLOYEES",77,PERSONNEL COMP. FULL-TIME PERMANENT,77,298194.1,298194.1,ok,segment
PRESIDENT PRO TEMPORE (D),2024,"SALARIES, OFFICERS AND EMPLOYEES",77,NET PAYROLL EXPENSES,77,298194.1,298194.1,ok,block_running_total
MAJORITY LEADER (D),2024,"SALARIES, OFFICERS AND EMPLOYEES",81,PERSONNEL COMP. FULL-TIME PERMANENT,82,1535953.82,1535953.82,ok,segment
MAJORITY LEADER (D),2024,"SALARIES, OFFICERS AND EMPLOYEES",81,NET PAYROLL EXPENSES,82,1535953.82,1535953.82,ok,block_running_total
MAJORITY WHIP (D),2024,"SALARIES, OFFICERS AND EMPLOYEES",85,PERSONNEL COMP. FULL-TIME PERMANENT,85,812710.05,812710.05,ok,segment
MAJORITY WHIP (D),2024,"SALARIES, OFFICERS AND EMPLOYEES",85,RE-EMPLOYED ANNUITANTS,85,24204.0,0.0,no_records,segment
MAJORITY WHIP (D),2024,"SALARIES, OFFICERS AND EMPLOYEES",85,NET PAYROLL EXPENSES,85,836914.05,812710.05,fail,block_running_total
MAJORITY CONFERENCE COMMITTEE (D),2024,"SALARIES, OFFICERS AND EMPLOYEES",88,PERSONNEL COMP. FULL-TIME PERMANENT,88,744918.78,744918.78,ok,segment
MAJORITY CONFERENCE COMMITTEE (D),2024,"SALARIES, OFFICERS AND EMPLOYEES",88,NET PAYROLL EXPENSES,88,744918.78,744918.78,ok,block_running_total
MAJORITY POLICY COMMITTEE (D),2024,"SALARIES, OFFICERS AND EMPLOYEES",91,PERSONNEL COMP. FULL-TIME PERMANENT,91,908782.23,908782.23,ok,segment
MAJORITY POLICY COMMITTEE (D),2024,"SALARIES, OFFICERS AND EMPLOYEES",91,NET PAYROLL EXPENSES,91,908782.23,908782.23,ok,block_running_total
"SECRETARY, MAJORITY CONFERENCE COMM (D)",2024,"SALARIES, OFFICERS AND EMPLOYEES",94,PERSONNEL COMP. FULL-TIME PERMANENT,94,159999.53,159999.53,ok,segment
"SECRETARY, MAJORITY CONFERENCE COMM (D)",2024,"SALARIES, OFFICERS AND EMPLOYEES",94,NET PAYROLL EXPENSES,94,159999.53,159999.53,ok,block_running_total
PRES PRO TEM EMERITUS (R),2024,"SALARIES, OFFICERS AND EMPLOYEES",97,PERSONNEL COMP. FULL-TIME PERMANENT,97,178383.32,178383.32,ok,segment
PRES PRO TEM EMERITUS (R),2024,"SALARIES, OFFICERS AND EMPLOYEES",97,NET PAYROLL EXPENSES,97,178383.32,178383.32,ok,block_running_total
MINORITY LEADER (R),2024,"SALARIES, OFFICERS AND EMPLOYEES",101,PERSONNEL COMP. FULL-TIME PERMANENT,101,1335924.41,1335924.41,ok,segment
MINORITY LEADER (R),2024,"SALARIES, OFFICERS AND EMPLOYEES",101,NET PAYROLL EXPENSES,101,1335924.41,1335924.41,ok,block_running_total
MINORITY WHIP (R),2024,"SALARIES, OFFICERS AND EMPLOYEES",104,PERSONNEL COMP. FULL-TIME PERMANENT,104,867310.02,867310.02,ok,segment
MINORITY WHIP (R),2024,"SALARIES, OFFICERS AND EMPLOYEES",104,NET PAYROLL EXPENSES,104,867310.02,867310.02,ok,block_running_total
MINORITY CONFERENCE COMMITTEE (R),2024,"SALARIES, OFFICERS AND EMPLOYEES",107,PERSONNEL COMP. FULL-TIME PERMANENT,107,863754.57,863754.57,ok,segment
MINORITY CONFERENCE COMMITTEE (R),2024,"SALARIES, OFFICERS AND EMPLOYEES",107,NET PAYROLL EXPENSES,107,863754.57,863754.57,ok,block_running_total
MINORITY POLICY COMMITTEE (R),2024,"SALARIES, OFFICERS AND EMPLOYEES",110,PERSONNEL COMP. FULL-TIME PERMANENT,110,811231.18,811231.18,ok,segment
MINORITY POLICY COMMITTEE (R),2024,"SALARIES, OFFICERS AND EMPLOYEES",110,NET PAYROLL EXPENSES,110,811231.18,811231.18,ok,block_running_total
"SECRETARY, MINORITY CONFERENCE COMM (R)",2024,"SALARIES, OFFICERS AND EMPLOYEES",113,PERSONNEL COMP. FULL-TIME PERMANENT,113,95268.64,95268.64,ok,segment
"SECRETARY, MINORITY CONFERENCE COMM (R)",2024,"SALARIES, OFFICERS AND EMPLOYEES",113,NET PAYROLL EXPENSES,113,95268.64,95268.64,ok,block_running_total
SECRETARY FOR THE MAJORITY (D),2024,"SALARIES, OFFICERS AND EMPLOYEES",116,PERSONNEL COMP. FULL-TIME PERMANENT,116,453064.16,453064.16,ok,segment
SECRETARY FOR THE MAJORITY (D),2024,"SALARIES, OFFICERS AND EMPLOYEES",116,NET PAYROLL EXPENSES,116,453064.16,453064.16,ok,block_running_total
SECRETARY FOR THE MINORITY (R),2024,"SALARIES, OFFICERS AND EMPLOYEES",119,PERSONNEL COMP. FULL-TIME PERMANENT,119,512288.62,512288.62,ok,segment
SECRETARY FOR THE MINORITY (R),2024,"SALARIES, OFFICERS AND EMPLOYEES",119,NET PAYROLL EXPENSES,119,512288.62,512288.62,ok,block_running_total
SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,2024,"SALARIES, OFFICERS AND EMPLOYEES",122,PERSONNEL COMP. FULL-TIME PERMANENT,143,53001137.03,53001238.23,fail,segment
SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,2024,"SALARIES, OFFICERS AND EMPLOYEES",122,RE-EMPLOYED ANNUITANTS,143,78532.0,0.0,no_records,segment
SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,2024,"SALARIES, OFFICERS AND EMPLOYEES",122,NET PAYROLL EXPENSES,143,53079669.03,53001238.23,fail,block_running_total
SECRETARY OF THE SENATE,2024,"SALARIES, OFFICERS AND EMPLOYEES",146,PERSONNEL COMP. FULL-TIME PERMANENT,151,14865996.75,14865996.75,ok,segment
SECRETARY OF THE SENATE,2024,"SALARIES, OFFICERS AND EMPLOYEES",146,RE-EMPLOYED ANNUITANTS,151,28644.0,0.0,no_records,segment
SECRETARY OF THE SENATE,2024,"SALARIES, OFFICERS AND EMPLOYEES",146,NET PAYROLL EXPENSES,151,14894640.75,14865996.75,fail,block_running_total
PAYMENT TO NEXT OF KIN OF SENATOR Funding Year X (REVOLVING) PAYMENT TO NEXT OF KIN OF SENATOR,,,152,NET PAYROLL EXPENSES,152,174000.0,174000.0,ok,block_running_total
APPROPRIATIONS,2021,MISCELLANEOUS ITEMS,154,OTHER CONTRACTUAL SERVICES,154,3200.0,3200.0,ok,segment
APPROPRIATIONS,2022,MISCELLANEOUS ITEMS,155,OTHER CONTRACTUAL SERVICES,155,56308.39,56308.39,ok,segment
APPROPRIATIONS,2022,MISCELLANEOUS ITEMS,155,ACQUISITION OF ASSETS,155,7990.41,7990.41,ok,segment
APPROPRIATIONS,2023,MISCELLANEOUS ITEMS,156,PERSONNEL BENEFITS,156,5816.73,0.0,no_records,segment
APPROPRIATIONS,2023,MISCELLANEOUS ITEMS,156,NET PAYROLL EXPENSES,156,5816.73,0.0,no_records,block_running_total
APPROPRIATIONS,2023,MISCELLANEOUS ITEMS,156,TRAVEL AND TRANSPORTATION OF PERSONS,157,4096.23,4096.23,ok,segment
APPROPRIATIONS,2023,MISCELLANEOUS ITEMS,156,OTHER CONTRACTUAL SERVICES,157,50.0,50.0,ok,segment
APPROPRIATIONS,2024,MISCELLANEOUS ITEMS,158,PERSONNEL BENEFITS,158,8693.89,0.0,no_records,segment
APPROPRIATIONS,2024,MISCELLANEOUS ITEMS,158,NET PAYROLL EXPENSES,158,8693.89,0.0,no_records,block_running_total
