severity,reason,source_doc,source_pdf,reference_page,office,funding_year,label,expected,detail,exception_key
warning,banner_check_discrepancy,119sdoc5,GPO-CDOC-119sdoc5-2.pdf,18,SENATOR JIM JUSTICE,2025,BANNER NET PAYROLL,1400945.4,status=fail; banner=1400945.4; parsed_body=1370945.42. Banner checks are advisory; review against the source before treating this as a parser defect.,119sdoc5|banner_check_discrepancy|18|SENATOR JIM JUSTICE|2025|BANNER NET PAYROLL|1400945.4
warning,banner_check_discrepancy,119sdoc5,GPO-CDOC-119sdoc5-2.pdf,18,SENATOR JIM JUSTICE,2025,BANNER ORGANIZATION TOTALS,1493495.6,status=warn; banner=1493495.6; parsed_body=1431426.21. Banner checks are advisory; review against the source before treating this as a parser defect.,119sdoc5|banner_check_discrepancy|18|SENATOR JIM JUSTICE|2025|BANNER ORGANIZATION TOTALS|1493495.6
warning,banner_check_missing,119sdoc5,GPO-CDOC-119sdoc5-2.pdf,26,SENATOR TIM KAINE,2023,BANNER NET PAYROLL,0.0,status=banner_missing; banner=0.0; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,119sdoc5|banner_check_missing|26|SENATOR TIM KAINE|2023|BANNER NET PAYROLL|0.0
warning,banner_check_discrepancy,119sdoc5,GPO-CDOC-119sdoc5-2.pdf,26,SENATOR TIM KAINE,2023,BANNER ORGANIZATION TOTALS,50.28,status=warn; banner=50.28; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,119sdoc5|banner_check_discrepancy|26|SENATOR TIM KAINE|2023|BANNER ORGANIZATION TOTALS|50.28
warning,banner_check_missing,119sdoc5,GPO-CDOC-119sdoc5-2.pdf,27,INTERN COMPENSATION - KAINE,2023,BANNER NET PAYROLL,0.0,status=banner_missing; banner=0.0; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,119sdoc5|banner_check_missing|27|INTERN COMPENSATION - KAINE|2023|BANNER NET PAYROLL|0.0
warning,banner_check_discrepancy,119sdoc5,GPO-CDOC-119sdoc5-2.pdf,28,SENATOR TIM KAINE,2024,BANNER ORGANIZATION TOTALS,51732.66,status=warn; banner=51732.66; parsed_body=1575.61. Banner checks are advisory; review against the source before treating this as a parser defect.,119sdoc5|banner_check_discrepancy|28|SENATOR TIM KAINE|2024|BANNER ORGANIZATION TOTALS|51732.66
warning,banner_check_missing,119sdoc5,GPO-CDOC-119sdoc5-2.pdf,29,INTERN COMPENSATION - KAINE,2024,BANNER NET PAYROLL,0.0,status=banner_missing; banner=0.0; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,119sdoc5|banner_check_missing|29|INTERN COMPENSATION - KAINE|2024|BANNER NET PAYROLL|0.0
warning,banner_check_discrepancy,119sdoc5,GPO-CDOC-119sdoc5-2.pdf,30,SENATOR TIM KAINE,2025,BANNER NET PAYROLL,2239842.4,status=fail; banner=2239842.4; parsed_body=2227687.07. Banner checks are advisory; review against the source before treating this as a parser defect.,119sdoc5|banner_check_discrepancy|30|SENATOR TIM KAINE|2025|BANNER NET PAYROLL|2239842.4
warning,banner_check_discrepancy,119sdoc5,GPO-CDOC-119sdoc5-2.pdf,30,SENATOR TIM KAINE,2025,BANNER ORGANIZATION TOTALS,2332792.08,status=warn; banner=2332792.08; parsed_body=2279877.43. Banner checks are advisory; review against the source before treating this as a parser defect.,119sdoc5|banner_check_discrepancy|30|SENATOR TIM KAINE|2025|BANNER ORGANIZATION TOTALS|2332792.08
warning,banner_check_discrepancy,119sdoc5,GPO-CDOC-119sdoc5-2.pdf,46,INTERN COMPENSATION - KAINE,2025,BANNER NET PAYROLL,46437.92,status=fail; banner=46437.92; parsed_body=58593.25. Banner checks are advisory; review against the source before treating this as a parser defect.,119sdoc5|banner_check_discrepancy|46|INTERN COMPENSATION - KAINE|2025|BANNER NET PAYROLL|46437.92
warning,banner_check_discrepancy,119sdoc5,GPO-CDOC-119sdoc5-2.pdf,46,INTERN COMPENSATION - KAINE,2025,BANNER ORGANIZATION TOTALS,46437.92,status=warn; banner=46437.92; parsed_body=58593.25. Banner checks are advisory; review against the source before treating this as a parser defect.,119sdoc5|banner_check_discrepancy|46|INTERN COMPENSATION - KAINE|2025|BANNER ORGANIZATION TOTALS|46437.92
warning,banner_check_missing,119sdoc5,GPO-CDOC-119sdoc5-2.pdf,48,SENATOR MARK KELLY,2023,BANNER NET PAYROLL,0.0,status=banner_missing; banner=0.0; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,119sdoc5|banner_check_missing|48|SENATOR MARK KELLY|2023|BANNER NET PAYROLL|0.0
