severity,reason,source_doc,source_pdf,reference_page,office,funding_year,label,expected,detail,exception_key
warning,banner_check_missing,118sdoc2,GPO-CDOC-118sdoc2-2.pdf,17,SENATOR MARK KELLY,2021,BANNER NET PAYROLL,0.0,status=banner_missing; banner=0.0; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,118sdoc2|banner_check_missing|17|SENATOR MARK KELLY|2021|BANNER NET PAYROLL|0.0
warning,banner_check_missing,118sdoc2,GPO-CDOC-118sdoc2-2.pdf,19,INTERN COMPENSATION - KELLY,2021,BANNER NET PAYROLL,0.0,status=banner_missing; banner=0.0; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,118sdoc2|banner_check_missing|19|INTERN COMPENSATION - KELLY|2021|BANNER NET PAYROLL|0.0
warning,banner_check_discrepancy,118sdoc2,GPO-CDOC-118sdoc2-2.pdf,20,SENATOR MARK KELLY,2022,BANNER NET PAYROLL,1072.96,status=fail; banner=1072.96; parsed_body=295.56. Banner checks are advisory; review against the source before treating this as a parser defect.,118sdoc2|banner_check_discrepancy|20|SENATOR MARK KELLY|2022|BANNER NET PAYROLL|1072.96
warning,banner_check_discrepancy,118sdoc2,GPO-CDOC-118sdoc2-2.pdf,20,SENATOR MARK KELLY,2022,BANNER ORGANIZATION TOTALS,35843.01,status=warn; banner=35843.01; parsed_body=27535.0. Banner checks are advisory; review against the source before treating this as a parser defect.,118sdoc2|banner_check_discrepancy|20|SENATOR MARK KELLY|2022|BANNER ORGANIZATION TOTALS|35843.01
warning,banner_check_missing,118sdoc2,GPO-CDOC-118sdoc2-2.pdf,26,INTERN COMPENSATION - KELLY,2022,BANNER NET PAYROLL,0.0,status=banner_missing; banner=0.0; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,118sdoc2|banner_check_missing|26|INTERN COMPENSATION - KELLY|2022|BANNER NET PAYROLL|0.0
warning,banner_check_discrepancy,118sdoc2,GPO-CDOC-118sdoc2-2.pdf,27,SENATOR MARK KELLY,2023,BANNER NET PAYROLL,1693745.37,status=fail; banner=1693745.37; parsed_body=1694441.15. Banner checks are advisory; review against the source before treating this as a parser defect.,118sdoc2|banner_check_discrepancy|27|SENATOR MARK KELLY|2023|BANNER NET PAYROLL|1693745.37
warning,banner_check_discrepancy,118sdoc2,GPO-CDOC-118sdoc2-2.pdf,27,SENATOR MARK KELLY,2023,BANNER ORGANIZATION TOTALS,1810140.42,status=warn; banner=1810140.42; parsed_body=1739622.93. Banner checks are advisory; review against the source before treating this as a parser defect.,118sdoc2|banner_check_discrepancy|27|SENATOR MARK KELLY|2023|BANNER ORGANIZATION TOTALS|1810140.42
warning,banner_check_missing,118sdoc2,GPO-CDOC-118sdoc2-2.pdf,36,SENATOR JOHN N. KENNEDY,2021,BANNER NET PAYROLL,0.0,status=banner_missing; banner=0.0; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,118sdoc2|banner_check_missing|36|SENATOR JOHN N. KENNEDY|2021|BANNER NET PAYROLL|0.0
warning,banner_check_missing,118sdoc2,GPO-CDOC-118sdoc2-2.pdf,37,INTERN COMPENSATION - KENNEDY,2021,BANNER NET PAYROLL,0.0,status=banner_missing; banner=0.0; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,118sdoc2|banner_check_missing|37|INTERN COMPENSATION - KENNEDY|2021|BANNER NET PAYROLL|0.0
warning,banner_check_missing,118sdoc2,GPO-CDOC-118sdoc2-2.pdf,38,SENATOR JOHN N. KENNEDY,2022,BANNER NET PAYROLL,0.0,status=banner_missing; banner=0.0; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,118sdoc2|banner_check_missing|38|SENATOR JOHN N. KENNEDY|2022|BANNER NET PAYROLL|0.0
warning,banner_check_discrepancy,118sdoc2,GPO-CDOC-118sdoc2-2.pdf,38,SENATOR JOHN N. KENNEDY,2022,BANNER ORGANIZATION TOTALS,83425.78,status=warn; banner=83425.78; parsed_body=15699.26. Banner checks are advisory; review against the source before treating this as a parser defect.,118sdoc2|banner_check_discrepancy|38|SENATOR JOHN N. KENNEDY|2022|BANNER ORGANIZATION TOTALS|83425.78
warning,banner_check_missing,118sdoc2,GPO-CDOC-118sdoc2-2.pdf,43,INTERN COMPENSATION - KENNEDY,2022,BANNER NET PAYROLL,0.0,status=banner_missing; banner=0.0; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,118sdoc2|banner_check_missing|43|INTERN COMPENSATION - KENNEDY|2022|BANNER NET PAYROLL|0.0
warning,banner_check_discrepancy,118sdoc2,GPO-CDOC-118sdoc2-2.pdf,44,SENATOR JOHN N. KENNEDY,2023,BANNER ORGANIZATION TOTALS,1902746.03,status=warn; banner=1902746.03; parsed_body=1790465.76. Banner checks are advisory; review against the source before treating this as a parser defect.,118sdoc2|banner_check_discrepancy|44|SENATOR JOHN N. KENNEDY|2023|BANNER ORGANIZATION TOTALS|1902746.03
warning,banner_check_missing,118sdoc2,GPO-CDOC-118sdoc2-2.pdf,68,SENATOR ANGUS KING,2021,BANNER NET PAYROLL,0.0,status=banner_missing; banner=0.0; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,118sdoc2|banner_check_missing|68|SENATOR ANGUS KING|2021|BANNER NET PAYROLL|0.0
warning,banner_check_missing,118sdoc2,GPO-CDOC-118sdoc2-2.pdf,69,INTERN COMPENSATION - KING,2021,BANNER NET PAYROLL,0.0,status=banner_missing; banner=0.0; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,118sdoc2|banner_check_missing|69|INTERN COMPENSATION - KING|2021|BANNER NET PAYROLL|0.0
warning,banner_check_discrepancy,118sdoc2,GPO-CDOC-118sdoc2-2.pdf,70,SENATOR ANGUS KING,2022,BANNER ORGANIZATION TOTALS,9137.99,status=warn; banner=9137.99; parsed_body=5408.77. Banner checks are advisory; review against the source before treating this as a parser defect.,118sdoc2|banner_check_discrepancy|70|SENATOR ANGUS KING|2022|BANNER ORGANIZATION TOTALS|9137.99
warning,banner_check_missing,118sdoc2,GPO-CDOC-118sdoc2-2.pdf,72,INTERN COMPENSATION - KING,2022,BANNER NET PAYROLL,0.0,status=banner_missing; banner=0.0; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,118sdoc2|banner_check_missing|72|INTERN COMPENSATION - KING|2022|BANNER NET PAYROLL|0.0
